|q|Ответ сотрудника|Вопрос из БЗ|Ответ из БЗ|Классификатор 1 уровня|Классификатор 2 уровня|aug_questions|Paraphrase 1|Paraphrase 2|Paraphrase 3
447|Что мне даст статус официального канала?|"Верификация даст следующие преимущества:
1) Быстрая публикация контента сразу после загрузки, минуя штатную модерацию (кроме видео категории ""Детям""), а также возможность постмодерации контента после его фактической публикации. 
2) Уникальный знак подлинности у вашего канала на платформе RUTUBE, подтверждающий, что вы являетесь правообладателем или создателем контента. Это предотвращает манипуляции с вашим именем и брендом, предотвращает мошенничество и незаконное распространение материалов. 
3) Возможность настроить короткий уникальный URL-адрес для своего канала. 
4) Команда модерации RUTUBE оказывает полное содействие в удалении материалов, распространяемых не от лица настоящего владельца."|Для чего нужна верификация и что она дает пользователю?|"Верификация открывает возможность быстрой публикации контента сразу после загрузки, минуя штатную модерацию (кроме видео категории ""Детям""), а также возможность постмодерации контента после его фактической публикации. Ваша страница на платформе RUTUBE приобретает уникальный знак подлинности, который подтверждает, что вы являетесь правообладателем или оригинальным создателем контента. Это помогает избежать махинаций с вашим именем и брендом, пресекать мошенничество и неправомерное распространение материалов. Также верифицированные пользователи могут создать короткий URL адрес для своего канала. Служба модерации RUTUBE оказывает полное содействие в удалении материалов, которые распространяются не от имени оригинального представителя."|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Что мне поднесёт статус официального канала?|1. А что мне даст наличие статуса официального канала?|2. Какие плюшки я получу от статуса официального канала?|3. Что изменится, если мой канал станет официальным?
448|А кто может верифецироваться на Rutub?|Любой пользователь RUTUBE из любой страны мира может пройти процедуру верификации, если выполнит все необходимые требования и корректно заполнит документы.|Какие пользователи могут подать на верификацию канала?|Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|А кто может верифецироваться на Rutub?|"1. ""Кто вообще может пройти верификацию на Рутубе?"""|"2. ""Подскажите, кто может верифицироваться на Rutube?"""|"3. ""Кому доступна верификация на Рутубе?"""
449|Для кого доступен официальный канал на рутубе?|Получение статуса официального канала доступно для любого пользователя RUTUBE из любой страны при выполнении всех необходимых условий и корректном заполнении документов.|Какие пользователи могут подать на верификацию канала?|Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Для кого доступен служебный канал на рутубе?|1. Кто может зайти на официальный канал на рутубе?|2. На кого рассчитан доступ к официальному каналу на рутубе?|3. Кому открыт официальный канал на рутубе?
450|А на верификацию только организации могут подать?|Подать заявку на верификацию возможно для любого пользователя RUTUBE из любой страны, если выполнены все необходимые условия и документы оформлены правильно.|Какие пользователи могут подать на верификацию канала?|Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|А на верификацию только конторы могут подать?|1. А верификацию только для организаций сделали?|2. Это что, верификацию теперь только организации могут пройти?|3. Что, на верификацию заявку могут оставить только организации?
451|А подать заявку можно любому?|Любой пользователь RUTUBE, независимо от страны проживания, может пройти процесс верификации, если выполнит все необходимые условия и правильно заполнит заявку.|Какие пользователи могут подать на верификацию канала?|Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|А подать заявку можно любому?|"1. ""А заявку подать может любой желающий?"""|"2. ""Так заявку любой может подать, да?"""|"3. ""Это заявку любой человек может подать?"""
452|Как мне получить галочку на Рутуб? На Ютубе у меня 1000 подписчиков|"Чтобы получить статус официального канала, необходимо подать заявку через Студию RUTUBE. Перейдите в раздел «Настройки канала» по ссылке https://studio.rutube.ru/channel-settings и нажмите «Подать заявку» в разделе «Статус официального канала». Следуйте инструкциям. 
Если такой возможности нет, отправьте письмо с заявкой и ссылкой на канал на адрес partners@rutube.ru, приложив гарантию правообладателя. 
Заявка для государственных учреждений и правообладателей доступны по ссылке: https://static.rutube.ru/static/studio/docs/entity.docx, а для публичных личностей — по ссылке: https://static.rutube.ru/static/studio/docs/individual.docx. 
Обратите внимание, если вы выдаёте себя за другое лицо или представляете чужой бренд, ваша заявка будет отклонена."|Как подать заявку на верификацию канала?|Для получения статуса официального канала необходимо подать заявку через Студию RUTUBE. Для этого перейдите в раздел “Настройки канала” по ссылке https://studio.rutube.ru/channel-settings и нажмите “Подать заявку” в пункте “Статус официального канала”, затем следуйте инструкции. Если возможность подать заявку через Студию RUTUBE отсутствует, напишите нам на partners@rutube.ru с указанием ссылки на свой канал и прикрепите гарантию правообладателя. Заявка для Госучреждений и правообладателей: https://static.rutube.ru/static/studio/docs/entity.docx. Заявка для публичной личности: https://static.rutube.ru/static/studio/docs/individual.docx. Если пользователь выдает себя за другое лицо или представителя чужого бренда, его заявка будет отклонена.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Как мне взять галочку на Рутуб? На Ютубе у меня 1000 подписчиков|1. Подскажите, как можно получить галочку на Рутубе? На Ютубе у меня уже 1000 подписчиков.|2. Кто знает, как оформить галку на Рутубе? На Ютубе достиг 1000 подписчиков.|3. Как на Рутубе получить верификацию? На Ютубе у меня давно уже 1000 подписчиков.
453|Как мне пройти верефикацию?|"Вы можете подать заявку на верификацию в Студии RUTUBE, через раздел «Настройки канала» по ссылке https://studio.rutube.ru/channel-settings: нажмите «Подать заявку» в разделе «Статус официального канала» и следуйте инструкциям. 
Если через Студию отправить заявку не получается, отправьте письмо с заявкой и ссылкой на канал на адрес partners@rutube.ru, приложив гарантию правообладателя. 
Заявка для государственных учреждений и правообладателей доступны по ссылке: https://static.rutube.ru/static/studio/docs/entity.docx, а для публичных личностей — по ссылке: https://static.rutube.ru/static/studio/docs/individual.docx. 
Обращаем внимание, если вы выдаёте себя за другое лицо или представляете чужой бренд, ваша заявка будет отклонена."|Как подать заявку на верификацию канала?|Для получения статуса официального канала необходимо подать заявку через Студию RUTUBE. Для этого перейдите в раздел “Настройки канала” по ссылке https://studio.rutube.ru/channel-settings и нажмите “Подать заявку” в пункте “Статус официального канала”, затем следуйте инструкции. Если возможность подать заявку через Студию RUTUBE отсутствует, напишите нам на partners@rutube.ru с указанием ссылки на свой канал и прикрепите гарантию правообладателя. Заявка для Госучреждений и правообладателей: https://static.rutube.ru/static/studio/docs/entity.docx. Заявка для публичной личности: https://static.rutube.ru/static/studio/docs/individual.docx. Если пользователь выдает себя за другое лицо или представителя чужого бренда, его заявка будет отклонена.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Как мне прейти верефикацию?|1. Как мне пройти эту верифику?|2. Чё надо сделать для верификации?|3. Подскажите, как зафаилить эту вериф?
454|Как отправить вам заявку на верификацию?|"Отправить заявку на верификацию можно в Студии RUTUBE, раздел «Настройки канала» (https://studio.rutube.ru/channel-settings): нажмите «Подать заявку» в разделе «Статус официального канала» и следуйте инструкциям. 
Если возникли трудности при подаче заявки через Студию, отправьте письмо с заявкой и ссылкой на канал на наш адрес partners@rutube.ru, приложив гарантию правообладателя. 
Заявка для государственных учреждений и правообладателей доступны по ссылке: https://static.rutube.ru/static/studio/docs/entity.docx, а для публичных личностей — по ссылке: https://static.rutube.ru/static/studio/docs/individual.docx. 
Обращаем внимание, если вы выдаёте себя за другое лицо или представляете чужой бренд, ваша заявка будет отклонена."|Как подать заявку на верификацию канала?|Для получения статуса официального канала необходимо подать заявку через Студию RUTUBE. Для этого перейдите в раздел “Настройки канала” по ссылке https://studio.rutube.ru/channel-settings и нажмите “Подать заявку” в пункте “Статус официального канала”, затем следуйте инструкции. Если возможность подать заявку через Студию RUTUBE отсутствует, напишите нам на partners@rutube.ru с указанием ссылки на свой канал и прикрепите гарантию правообладателя. Заявка для Госучреждений и правообладателей: https://static.rutube.ru/static/studio/docs/entity.docx. Заявка для публичной личности: https://static.rutube.ru/static/studio/docs/individual.docx. Если пользователь выдает себя за другое лицо или представителя чужого бренда, его заявка будет отклонена.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Как отправить вам заявку на верификацию?|1. Как правильно подать заявку на верификацию?|2. Где и как можно отправить заявку, чтобы пройти верификацию?|3. Скажите, как оформить и отправить заявку для верификации?
455|Кому можно сделать официальный канал на Rutube?|Официальный канал на RUTUBE может создать пользователь, подтвердивший, что является правообладателем или оригинальным создателем контента.|Кто может получить верификацию?|Пользователь RUTUBE, подтвердивший, что является правообладателем или оригинальным создателем контента.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Кому можно соорудить официальный канал на Rutube?|1. Кто может создать официальный канал на Rutube?|2. Кому позволено зарегистрировать официальный канал на Rutube?|3. Кто имеет право завести официальный канал на Rutube?
456|Кому точно одобрят верификацию?|Верификацию на RUTUBE может пройти пользователь, подтвердивший, что является владельцем авторских прав или непосредственным создателем контента.|Кто может получить верификацию?|Пользователь RUTUBE, подтвердивший, что является правообладателем или оригинальным создателем контента.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Кому точно одобрят верификацию?|"1. ""Кому эту верификацию точно одобрят?"""|"2. ""Кому без вопросов дадут верификацию?"""|"3. ""Кому наверняка зайдёт одобрение на верификацию?"""
457|Обязательно ли быть крупным блогером, чтобы пройти верификацию?|Нет, не обязательно. Физическое лицо может получить верификацию, если выполнены следующие условия: установлен аватар и обложка канала, заполнено описание и название канала, опубликовано не менее двух видео, последнее из которых не старше трёх месяцев, и есть ссылки на канал на других платформах.|Может ли физическое лицо получить статус?|Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|явно ли быть крупным блогером, чтобы пройти верификацию?|1. Нужно ли быть топовым блогером, чтобы получить верификацию?|2. Чтобы пройти верификацию, нужно стать крупным блогером или как?|3. Для верификации обязательно быть мега-известным блогером, или есть другие варианты?
458|Я могу сделать свой канал официальным, если я простой человек (у меня нет всяких пабликов, я не ИП и не ООО)?|Конечно, физическое лицо может получить статус официального канала, если соблюдены следующие условия: есть аватар и обложка канала, заполнено описание и название канала, опубликовано не менее двух видео, последнее из которых не старше трёх месяцев, и присутствуют ссылки на каналы на других платформах.|Может ли физическое лицо получить статус?|Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Я могу сделать свой канал официальным, если я стандартной человек (у меня нет всяких пабликов, я не ИП и не ООО)?|1. Скажите, а можно ли сделать мой канал официальным, если я обычный человек, без всяких пабликов или ИП/ООО?||2. Могу ли я оформить канал официально, если у меня нет никакого ИП или ООО, и я просто обычный пользователь?
459|А физикам доступна верификация на Рутуб?|Да, верификацию может получить и физическое лицо, если выполнены следующие условия: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.|Может ли физическое лицо получить статус?|Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|А физикам открыта верификация на Рутуб?|"1. ""А физики на Рутубе верифицируются?"""|"2. ""Физикам на Рутубе верификация положена?"""|"3. ""Физиков на Рутубе можно верифицировать?"""
460|Как поменять ссылку на канал, чтобы вместо цифр был мой ник?|Ссылку на канал можно поменять через настройки в Студии RUTUBE, прокрутите страницу вниз до пункта «URL Канала». Самостоятельно ссылку можно менять до 3-х раз в год, если вам потребуется больше изменений, напишите нам на partners@rutube.ru.|Как поменять URL своего RUTUBE канала?|Поменять URL канала можно в настройках профиля Студии RUTUBE, прокрутив страницу вниз до пункта «URL Канала». URL можно менять до 3 раз в год. Если нужно больше изменений, напишите на partners@rutube.ru для получения помощи.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Как поменять ссылку на канал, чтобы вместо отметок был мой ник?|1. Как сделать так, чтобы ссылка на канал была с моим ником, а не из циферок?|2. Подскажите, как изменить ссылку на канал, чтобы в ней был мой ник, а не набор цифр?|3. Что нужно сделать, чтобы в ссылке на канал вместо цифр появилась моё имя пользователя?
461|Я могу настроить красивую ссылку на канал?|Вы можете поменять ссылку на канал в настройках Студии RUTUBE, прокрутите страницу вниз до пункта «URL Канала». Обратите внимание, в год доступно не более 3-х изменений, поэтому если вам потребуется больше, напишите нам на partners@rutube.ru.|Как поменять URL своего RUTUBE канала?|Поменять URL канала можно в настройках профиля Студии RUTUBE, прокрутив страницу вниз до пункта «URL Канала». URL можно менять до 3 раз в год. Если нужно больше изменений, напишите на partners@rutube.ru для получения помощи.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Я могу настроить хорошую ссылку на канал?|1. Кто подскажет, как сделать приличную ссылку на канал?|2. Подскажите, реально ли настроить нормальную ссылку на канал?|3. А можно ли как-то оформить ссылку на канал по красоте?
462|Не могу найти, как поменять адрес канала, чтобы было так https://rutube.ru/vasya_007?|Это можно сделать в настройках Студии RUTUBE, прокрутив страницу вниз до пункта «URL Канала». Адрес канала можно поменять самостоятельно не более 3-х раз за год, если вам потребуется больше изменений, напишите нам на partners@rutube.ru.|Как поменять URL своего RUTUBE канала?|Поменять URL канала можно в настройках профиля Студии RUTUBE, прокрутив страницу вниз до пункта «URL Канала». URL можно менять до 3 раз в год. Если нужно больше изменений, напишите на partners@rutube.ru для получения помощи.|УПРАВЛЕНИЕ АККАУНТОМ|Персонализация|Не могу выбрать, как поменять адрес канала, чтобы было так https://rutube.ru/vasya_007?|1. Подскажите, как изменить адрес канала, чтобы выглядело вот так: https://rutube.ru/vasya_007?||2. Никак не пойму, где поменять ссылку на канал, чтобы было что-то вроде https://rutube.ru/vasya_007?
463|Сколько вы будете проверять мою заявку на верификацию?|Рассмотрение заявки на верификацию длится до 10 рабочих дней.|Сколько времени занимает рассмотрение заявки на верификацию канала?|Рассмотрение заявки занимает до 10 рабочих дней.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Сколько вы будете отведывать мою заявку на верификацию?|1. 'Ну сколько по времени еще будете мою заявку на верификацию проверять?'|2. 'Когда уже закончится проверка заявки на верификацию?'|3. 'Вы там долго еще мою верификацию проверять будете?'
464|Отправил вчера заявку на статус официального канала, а как долго ждать рассмотрения?|Период рассмотрения заявки составляет до 10 рабочих дней.|Сколько времени занимает рассмотрение заявки на верификацию канала?|Рассмотрение заявки занимает до 10 рабочих дней.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|отослал вчера заявку на статус официального канала, а как долго ждать рассмотрения?|1. Вчера закинул заявку на оф. канал, интересно, сколько теперь ждать ответа?|2. Подал вчера заявку на официальный канал, кто-нибудь знает, сколько примерно рассмотрение идёт?|3. Вчера отправил запрос на статус оф. канала, кто в курсе, сколько это обычно занимает?
465|Кто принимает решение по заявкам на верификацию?|Заявки на верификацию рассматриваются отделом поддержки блогеров.|Кто рассматривает заявку на получение статуса?|Заявку рассматривает отдел поддержки блогеров.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Кто принимает намерение по заявкам на верификацию?|1. Кто отвечает за одобрение заявок на верификацию?|2. Кто уполномочен принимать заявки на верификацию?|3. Кто решает, одобряют ли заявки на верификацию?
466|Уже отправил вам заявку на получение галочки, хотел поинтересоваться, а кто ее будет проверять?|Ваша заявка в надежных руках, рассмотрением занимается отдел поддержки блогеров.|Кто рассматривает заявку на получение статуса?|Заявку рассматривает отдел поддержки блогеров.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Уже отправил вам заявку на взятие галочки, хотел поинтересоваться, а кто ее будет проверять?|"1. ""Я уже закинул вам заявку на получение галочки, интересно, кто вообще это дело проверяет?"""|"2. ""Заявку на галочку уже отправил, теперь вот думаю, кто у вас там её рассматривает?"""|"3. ""Кинул вам заявку на галочку, любопытно, а кто у вас за проверку ответственный?"""
467|А мне обязательно верифицировать свой канал, чтобы монетизироваться?|Верификация канала не нужна для подключения к монетизации. Узнайте больше о монетизации на RUTUBE по ссылке: https://rutube.ru/info/monetization.|Обязательна ли верификация канала для подключения к монетизации?|Для подключения канала к монетизации верификация канала не требуется. Подробнее о монетизации на RUTUBE: https://rutube.ru/info/monetization.|МОНЕТИЗАЦИЯ|Отключение/подключение монетизации|А мне обязательно верифицировать специальный канал, чтобы монетизироваться?|1. А верификацию канала для монетизации обязательно проходить?|2. Чтобы монетизировать канал, верификация точно нужна?|3. Без верификации вообще можно на нашем канале деньги получать?
468|Планирую подавать на монетизацию, нужно ли мне для этого получать галочку?|Нет, для подключения монетизации не требуется верификация канала. Подробнее о монетизации на RUTUBE можно узнать по ссылке: https://rutube.ru/info/monetization.|Обязательна ли верификация канала для подключения к монетизации?|Для подключения канала к монетизации верификация канала не требуется. Подробнее о монетизации на RUTUBE: https://rutube.ru/info/monetization.|МОНЕТИЗАЦИЯ|Отключение/подключение монетизации|Планирую подавать на монетизацию, нужно ли мне для этого снискивать галочку?|1. Хочу подать на монетизацию, обязательно ли для этого получать синюю галочку?|2. Собираюсь подключить монетизацию, требуется ли для этого подтверждённая галка?|3. Планирую запускать монетизацию, надо ли для этого сначала пройти верификацию?
469|Почему мою заявку на верификацию отклонили?|Если вы не согласны с решением по вашей заявке, пожалуйста, направьте запрос на partners@rutube.ru, в обращении вы можете дополнительно указать основания для получения статуса официального канала.|Что делать, если заявку не одобрили?|Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Почему мою заявку на верификацию отклонили?|"1. ""Что за причины отклонения моей заявки на верификацию?"""|"2. ""Почему мне отказали в подтверждении заявки на верификацию?"""|"3. ""Из-за чего мою заявку на верификацию не приняли?"""
470|Мне отклонили заявку на галочку, что не так?|В случае если вашу заявку на верификацию отклонили, вы можете написать нам на partners@rutube.ru, мы все проверим и уточним причины. Вы сразу можете указать в обращении основания для получения статуса официального канала.|Что делать, если заявку не одобрили?|Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Мне отклонили заявку на галочку, что не так?|"1. ""Мою заявку на галочку отклонили, чего не так-то?"""|"2. ""Получил отказ на запрос галочки, в чем дело?"""|"3. ""Отклонили мою заявку на галку, что за фигня вообще?"""
471|Вы не одобрили мою заявку на статус официального канала без комментариев… хотелось бы знать, в чем причина.|Для уточнения решения по вашей заявке вы можете обратиться на partners@rutube.ru, мы поможем разобраться.|Что делать, если заявку не одобрили?|Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Вы не одобрили мою заявку на статус официального канала без комментариев… хотелось бы знать, в чем подоплёка.|"1. ""Вы отклонили мою заявку на статус официального канала без объяснений… хотелось бы понять, что не так."""||"2. ""Мою заявку на статус официального канала не приняли, и никаких пояснений не дали… хотелось бы узнать, почему."""
472|Я вам отправлял заявку на верификацию и уже две недели прошло, а ответа так и нет|Если вы не получили ответ по заявке в указанный срок, напишите, пожалуйста, на partners@rutube.ru для уточнения статуса вашей заявки.|Моя заявка находится длительное время без ответа. Что делать?|Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Я вам слал заявку на верификацию и уже две недели прошло, а ответа так и нет|1. 'Я вам отправлял заявку на верификацию, уже две недели прошло, а ответа до сих пор нет.'||2. 'Отправил вам заявку на верификацию уже как две недели назад, но ответа так и не дождался.'
473|Моя заявка на верификацию где-то зависла у вас, как узнать что с ней?|Если вы не получили ответ после указанного периода времени, пожалуйста, свяжитесь с нами по почте partners@rutube.ru для проверки статуса вашей заявки.|Моя заявка находится длительное время без ответа. Что делать?|Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Моя заявка на верификацию где-то зависла у вас, как разузнать что с ней?|1. «Заявка на верификацию где-то у вас застряла, как узнать, что с ней происходит?»|2. «Похоже, моя заявка на верификацию где-то подвисла, как можно узнать её статус?»|3. «Моя верификация, похоже, повисла в воздухе, как проверить, что с ней сейчас?»
474|Заявка на верификацию в статусе рассмотрения уже больше 10 дней, когда ждать результат?|При отсутствии ответа по заявке на верификацию более 10 дней, пожалуйста, напишите на partners@rutube.ru, чтобы уточнить статус заявки.|Моя заявка находится длительное время без ответа. Что делать?|Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки.|УПРАВЛЕНИЕ АККАУНТОМ|Верификация|Заявка на верификацию в статусе рассмотрения уже больше 10 дней, когда ждать исход?|"1. ""Моя заявка на верификацию висит уже больше 10 дней в статусе рассмотрения, когда будет ответ?"""|"2. ""Вот уже 10 дней статус заявки на верификацию никак не меняется, когда ждать результат?"""|"3. ""Заявка на верификацию больше 10 дней на проверке, когда уже дождусь ответа?"""
475|На рутубе есть монетизация?|"Да, на RUTUBE доступна монетизация. Подробнее об условиях:
Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года.
Как подключить: 
1) В разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. 
2) Мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. 
Далее RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). А всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE."|Что такое Монетизация на RUTUBE?|"Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года.

По порядку о том, как это работает: 

В разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. 
Мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. 
RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). Всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE. 
Творите, загружайте и выводите свой канал в топ!"|МОНЕТИЗАЦИЯ|Отключение/подключение монетизации|На рутубе есть монетизация?|"1. ""А монетизацию на Рутубе завезли?"""|"2. ""С монетизацией на Рутубе как дела обстоят?"""|"3. ""На Рутубе теперь платят за просмотры?"""
